Product Name,Product Subheading,Recommended Skin Type,Details,Ingredients,Item Link
PLANTSCRIPTION™,Youth-renewing Power Night Cream,"Dry, Normal, Oily","This dream of a cream, fortified with potent Anogeissus, delivers youth-renewing hydration while you sleep. Helps visibly improves lines and wrinkles and revive youthful bounce. Now powered with elastin-optimizing Dill Seed Extract and youth-extending Cassia alata to help restore elasticity to create a more lasting youthful appearance overnight.","Ingredients: Water\Aqua\Eau , Caprylic/Capric Triglyceride , Myristyl Myristate , Isodecyl Isononanoate , Triethylhexanoin , Butylene Glycol , Stearic Acid , Peg-100 Stearate , Cetyl Alcohol , Behenyl Alcohol , Hydrogenated Coco-Glycerides , Cetearyl Alcohol , Glycerin , Anogeissus Leiocarpus Bark Extract , Peucedanum Graveolens (Dill) Extract , Cassia Alata Leaf Extract , Rosa Damascena Flower Oil*, Lavandula Angustifolia (Lavender) Oil*, Pelargonium Graveolens Flower Oil*, Illicium Verum (Anise) Fruit/Seed Oil*, Citrus Aurantium Bergamia (Bergamot) Fruit Oil*, Carthamus Tinctorius (Safflower) Seed Oil*, Myristica Fragrans (Nutmeg) Kernel Oil*, Citrus Aurantium Dulcis (Orange) Peel Oil*, Citrus Nobilis (Mandarin Orange) Peel Oil*, Citrus Limon (Lemon) Peel Oil*, Litsea Cubeba Fruit Oil*, Hibiscus Abelmoschus Extract, Linalool, Citronellol, Limonene, Geraniol, Citral , Hypnea Musciformis (Algae) Extract , Gellidiela Acerosa (Algae) Extract , Hordeum Vulgare (Barley) Extract\Extrait D'Orge , Triticum Vulgare (Wheat) Germ Extract , Pisum Sativum (Pea) Extract , Centaurium Erythraea (Centaury) Extract , Bambusa Vulgaris (Bamboo) Extract , Poria Cocos Sclerotium Extract , Cholesterol , Rosmarinus Officinalis (Rosemary) Leaf Extract , Coffea Arabica (Coffee) Seed Extract , Rubus Idaeus (Raspberry) Leaf Extract , Squalane , Sigesbeckia Orientalis (St. Paul'S Wort) Extract , Micrococcus Lysate , Phytosphingosine , Caffeine , Acetyl Hexapeptide-8 , Hydrolyzed Algin , Crithmum Maritimum Extract , Hydrogenated Vegetable Oil , Laminaria Digitata Extract , Sodium Hyaluronate , Lecithin , Maltodextrin , Glycine Soja (Soybean) Sterols , Dimethicone , Ceteareth-20 , Polysorbate 20 , Glyceryl Stearate , Carbomer , Potassium Hydroxide , Tocopheryl Acetate , Boron Nitride , Tetrahexyldecyl Ascorbate , Sodium Dehydroacetate , Xanthan Gum , Glucosamine Hcl , Phenoxyethanol * Essential Oil <ILNILN42228> Please be aware that ingredient lists may change or vary from time to time. Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients.",https://www.origins.com/product/15352/42076/skincare/moisturize/moisturizers/plantscription/youth-renewing-power-night-cream
DR. ANDREW WEIL FOR ORIGINS™,Mega-Defense Advanced daily UV defender SPF 45,"Dry, Normal, Oily",This featherweight UV Defender is in a class of its own. Our first 100% non-chemical sunscreen is formulated with skin-strengthening Opuntia Cactus Extract.  So it helps create a moisture barrier to boost skin's resilience and help prevent the daily damage caused by pollution and other irritants. Gentle on skin? Check. Tough on environmental aggressors? You bet.,"Ingredients: Titanium Dioxide 6.3% , Zinc Oxide 4.0%Ingredients: Water\Aqua\Eau , Dimethicone , Butyloctyl Salicylate , C12-15 Alkyl Benzoate , Methyl Trimethicone , Isononyl Isononanoate , Diethylhexyl Succinate , Neopentyl Glycol Diheptanoate , Butylene Glycol , Dipentaerythrityl Tri-Polyhydroxystearate , Lauryl Peg-9 Polydimethylsiloxyethyl Dimethicone , Silica , Citrus Aurantium Dulcis (Orange) Peel Oil*, Pelargonium Graveolens Flower Oil*, Cananga Odorata Flower Oil*, Eugenia Caryophyllus (Clove) Bud Oil*, Rosa Damascena Flower Oil*, Jasminum Officinale (Jasmine) Oil*, Viola Odorata Flower/Leaf Extract, Polianthes Tuberosa Extract, Geraniol, Benzyl Benzoate, Citronellol, Eugenol , Epilobium Angustifolium Flower\Leaf\Stem Extract , Hordeum Vulgare (Barley) Extract\Extrait D'Orge , Triticum Vulgare (Wheat) Germ Extract , Vaccinium Angustifolium (Blueberry) Fruit Extract , Vaccinium Macrocarpon (Cranberry) Fruit Extract , Lycium Chinense (Wolfberry) Fruit Extract , Rosa Roxburghii Fruit Extract , Opuntia Tuna Extract , Trimethylsiloxysilicate , Hydroxyapatite , Cetyl Peg/Ppg-10/1 Dimethicone , Glycerin , Scutellaria Baicalensis Root Extract , Squalane , Yeast Extract\Faex\Extrait De Levure , Dimethicone/Peg-10/15 Crosspolymer , Dimethicone Silylate , Tocopheryl Acetate , Hydrolyzed Wheat Protein/Pvp Crosspolymer , Dimethicone Crosspolymer-3 , Isostearic Acid , Caprylyl Glycol , Polyhydroxystearic Acid , Bht , Phenoxyethanol * Essential Oil <ILNILN41804> Please be aware that ingredient lists may change or vary from time to time. Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients.",https://www.origins.com/product/15352/39025/skincare/moisturize/moisturizers/dr-andrew-weil-for-origins/mega-defense-advanced-daily-uv-defender-spf-45
ZERO OIL™,Oil-free Moisture Lotion with Saw Palmetto & Mint,Oily,"This lightweight, oil-free, hydrating lotion with skin-clearing Saw Palmetto, refreshing Mint and pore-minimizing Salicylic Acid instantly reduces shine, refines skin texture and creates a smooth, matte finish. Non-comedogenic. Non-acnegenic.","Ingredients: Water\Aqua\Eau; Salvia Officinalis (Sage) Leaf Water, Anthemis Nobilis (Chamomile) Flower Water , Jojoba Esters , Butylene Glycol , Dimethicone , Glycerin , Mentha Viridis (Spearmint) Leaf Oil*, Citrus Medica Limonum (Lemon) Peel Oil*, Citrus Aurantium Dulcis (Orange) Oil*, Lavandula Angustifolia (Lavender) Oil*, Cananga Odorata (Ylang Ylang) Oil*, Citral, Linalool, Farnesol, Benzyl Benzoate, Benzyl Salicylate, Limonene, Geraniol , Serenoa Serrulata (Saw Palmetto) Fruit Extract , Laminaria Saccharina Extract , Salicylic Acid , Poria Cocos Sclerotium Extract , Aloe Barbadensis Leaf Juice , Centaurium Erythraea (Centaury) Extract , Impatiens Balsamina (Garden Balsam) Leaf Extract , Sodium Hyaluronate , Tocotrienols , Glycyrrhetinic Acid , Yeast Extract\Faex\Extrait De Levure , Hordeum Vulgare (Barley) Extract\Extrait D'Orge , Triticum Vulgare (Wheat) Germ Extract , Methyl Trimethicone , Polysorbate 20 , Arginine , Squalane , Phospholipids , Tromethamine , Tocopheryl Acetate , Ammonium Acryloyldimethyltaurate/Vp Copolymer , Caprylyl Glycol , Hexylene Glycol , Carbomer , Silica , Phenoxyethanol * Essential Oil <ILNILN36287> Please be aware that ingredient lists may change or vary from time to time. Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients.",https://www.origins.com/product/15352/11632/skincare/moisturize/moisturizers/zero-oil/oil-free-moisture-lotion-with-saw-palmetto-mint
SAVE THE MALES™,Multi-benefit Moisturizer,"Dry, Normal, Oily","This multi-benefit, oil-free lotion with Carrot Protein and other natural activists supports skin, so it stays healthy and hydrated. Chinese Wolfberry and Mangosteen Extract offer powerful antioxidant protection. And White Birch takes a firm stance against the formation of fine lines and wrinkles. Together, you and this lotion can help put a stop to all visible signs of skin damage.","Ingredients: Water\Aqua\Eau , Diethylhexyl Sebacate , Butylene Glycol , Dimethicone , Bis-Peg-18 Methyl Ether Dimethyl Silane , Glycerin , Citrus Aurantium Bergamia (Bergamot) Fruit Oil*, Citrus Medica Limonum (Lemon) Peel Oil*, Lavandula Hybrida Oil*, Coriandrum Sativum (Coriander) Fruit Oil*, Pinus Palustris Oil*, Mentha Piperita (Peppermint) Oil*, Salvia Sclarea (Clary) Oil*, Piper Nigrum (Black Pepper) Fruit Oil*, Elettaria Cardamomum Seed Oil*, Cedrus Atlantica (Cedarwood) Bark Oil*, Thymus Vulgaris (Thyme) Oil*, Pelargonium Graveolens Flower Oil*, Peucedanum Graveolens (Dill) Extract, Citral, Geraniol, Linalool, Limonene , Lycium Chinense (Wolfberry) Fruit Extract , Menyanthes Trifoliata (Buckbean) Leaf Extract , Mimosa Tenuiflora Bark Extract , Garcinia Mangostana Peel Extract , Poria Cocos Sclerotium Extract , Magnolia Officinalis Bark Extract , Yeast Extract\Faex\Extrait De Levure , Hordeum Vulgare (Barley) Extract\Extrait D'Orge , Scutellaria Baicalensis Root Extract , Betula Alba (Birch) Bark Extract , Panax Ginseng (Ginseng) Root Extract , Saccharomyces Lysate Extract , Butyrospermum Parkii (Shea Butter) , Adenosine Phosphate , Chlorella Vulgaris Extract , Maltodextrin , Acetyl Hexapeptide-8 , Tocopheryl Acetate , Sodium Hyaluronate , Oleth-10 , Caffeine , Squalane , Carbomer , Trehalose , Butyl Avocadate , Tromethamine , Triticum Vulgare (Wheat) Germ Extract , Silica , Xanthan Gum , Sorbic Acid , Chlorphenesin , Phenoxyethanol * Essential Oil <ILNILN39344> Please be aware that ingredient lists may change or vary from time to time. Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients.",https://www.origins.com/product/15352/10690/skincare/moisturize/moisturizers/save-the-males/multi-benefit-moisturizer
"HELLO, CALM™",Relaxing & Hydrating Face Mask with Cannabis Sativa Seed Oil,"Dry, Normal, Oily","What It Is:
This ultra-hydrating mask infused with natural cannabis sativa seed oil instantly calms skin, visibly reduces irritation and de-stresses the senses. 

What It Does:
This lush, super-nourishing mask is formulated with cannabis sativa seed oil from hemp that’s rich in essential omega-6 and omega-3 acids—and is non-intoxicating, to boot.
It deeply hydrates skin to calm, soothe, and help de-stress the senses with its essential oil blend. It’s the mask that won’t leave you high and dry.

We Formulate Without:
Parabens, phthalates, sodium lauryl sulfate, propylene glycol, mineral oil, DEA, petrolatum, paraffin, polyethylene beads, formaldehyde & animal ingredients*

Ingredients:
CANNABIS SATIVA SEED OIL
This nourishing & non-intoxicating ingredient made from cold-pressed Hemp seeds is rich in essential omega-6 & omega-3 acids. Plus, it’s renowned for helping treat skin concerns like dryness & visible irritation.

Research Results:
In a 1 week study of 105 women, after 1 use:
- 94% said their skin felt comforted
- 92% said their skin looked healthier
- 88% said their skin looked less tense and fatigued
- 95% agreed the scent is de-stressing","Ingredients: water\aqua\eau, butylene glycol, prunus armeniaca (apricot) kernel oil, cannabis sativa (hemp) seed oil*, sucrose*, carthamus tinctorius (safflower) seed oil, lavandula angustifolia (lavender) oil**, cymbopogon martini oil**, pogostemon cablin oil**, amyris balsamifera bark oil**, anthemis nobilis flower oil**, salvia sclarea (clary sage) oil**, citrus aurantium bergamia (bergamot) fruit oil**, cupressus sempervirens leaf/nut/stem oil**, myristica fragrans (nutmeg) kernel oil**, vetiveria zizanoides root oil**, geraniol, linalool, limonene, citral, farnesol, peg-100 stearate, oryza sativa (rice) bran oil, glyceryl stearate, stearic acid, tribehenin, peg-7 glyceryl cocoate, caprylic/capric/myristic/stearic triglyceride, spilanthes acmella flower extract, glycyrrhiza glabra (licorice) root extract, humulus lupulus (hops) extract, polygonum cuspidatum root extract, hordeum vulgare (barley) extract\extrait d'orge, oenothera biennis (evening primrose) oil, hypnea musciformis (algae) extract, gelidiella acerosa extract, castanea sativa (chestnut) seed extract, rubus idaeus (raspberry) seed oil, squalane, linoleic acid, caffeine, triticum vulgare (wheat) germ extract, lactobacillus ferment, linolenic acid, ethylhexylglycerin, caprylyl glycol, caprylic/capric triglyceride, sodium hyaluronate, isostearic acid, jojoba esters, cetearyl alcohol, tocopheryl acetate, polysorbate 60, bis-diglyceryl polyacyladipate-2, carbomer, stearyl alcohol, dimethicone, potassium hydroxide, hexylene glycol, ammonium acryloyldimethyltaurate/vp copolymer, triethoxycaprylylsilane, disodium edta, sodium dehydroacetate, phenoxyethanol, mica, bismuth oxychloride (ci 77163), chromium oxide greens (ci 77288), iron oxides (ci 77491), iron oxides (ci 77492), iron oxides (ci 77499), titanium dioxide (ci 77891) <ILN45788> Please be aware that ingredient lists may change or vary from time to time. Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients.",https://www.origins.com/product/15346/61392/skincare/treat/face-masks/hello-calm/relaxing-hydrating-face-mask-with-cannabis-sativa-seed-oil
CLEAR IMPROVEMENT™,Charcoal Honey Mask to Purify & Nourish,"Dry, Normal, Oily","WHAT IS IT
This gentle purifying mask deeply detoxes while nourishing skin, leaving it feeling comfortably clean, clear & conditioned.

WHAT IS IT FORMULATED TO DO
Formulated with Bamboo Charcoal, this purifying mask actively deep cleans & draws out deep-dwelling pore-cloggers, impurities & debris. Golden Wildflower & Fermented Honey help nourish skin.

WHAT IS IT FORMULATED WITHOUT
Parabens, Phtalates, Propylene Glycol, Mineral Oil, Petrolatum, Paraffin, DEA, Polyethylene Beads, Animal Ingredients*
* except cruelty-free Honey & Beeswax

WHAT ELSE YOU NEED TO KNOW
Bamboo Charcoal acts like a magnet to draw out deep-dwelling pore-cloggers, Wildflower & Fermented Honey help nourish. Skin looks clear, feels perfectly pure & conditioned.

This product is not eligible for discounts.","Ingredients: Water\Aqua\Eau, Butylene glycol, Bentonite, Montmorillonite, Honey\mel\miel, Polysorbate 20, Peg-100 stearate, Polybutene, Jojoba esters, Lavandula angustifolia (lavender) oil*, Citrus limon (lemon) peel oil*, Cananga odorata flower oil*, Mentha viridis (spearmint) leaf oil*, Rosmarinus officinalis leaf oil, Eugenia caryophyllus (clove) bud oil*, Gaultheria procumbens (wintergreen) leaf oil*, Citrus aurantium amara (bitter orange) flower extract, Triethyl citrate, Ethyl phenylacetate, Limonene, Linalool, Eugenol, Citral, Benzyl benzoate, Yeast extract\faex\extrait de levure, Kaolin, Charcoal powder, Caffeine, Sodium hyaluronate, Glycerin, Trehalose, Lecithin, Ethylhexylglycerin, Xanthan gum, Caprylyl glycol, Peg-150 distearate, Silica, Hexylene glycol, Disodium edta, Tetrasodium edta, Dehydroacetic acid, Phenoxyethanol, Mica, Titanium dioxide (ci 77891), Iron oxides (ci 77491, ci 77492, ci 77499) * Essential oil <ILN44972> Please be aware that ingredient lists may change or vary from time to time. Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients.",https://www.origins.com/product/15346/57498/skincare/treat/face-masks/clear-improvement/charcoal-honey-mask-to-purify-nourish
DRAGON FRUIT,Brightening SuperFruit Mask,"Dry, Normal, Oily","WHAT IT IS
This refreshing gel mask helps refine texture & brighten to boost skin’s clarity—leaving you looking luminous.

WHAT IT IS FORMULATED TO DO
A juicy burst of hydration for skin, this SuperFruit mask with Dragon Fruit & Vitamin C helps boost radiance to improve skin’s clarity. Crushed Walnut Shell exfoliators gently exfoliate & refine skin’s texture, and Tangerine, Lemon & Blackcurrant leave you feeling refreshed.

WHAT IT IS FORMULATED WITHOUT
Parabens, Phthalates, Propylene Glycol, Mineral Oil, Petrolatum, Paraffin, DEA, Polyethylene Beads, Animal Ingredients*
*except cruelty-free Honey & Beeswax

WHAT ELSE YOU NEED TO KNOW
Walnut shells are one of nature’s best, most effective exfoliators. We make sure ours are finely ground for all the smoothing, polishing benefits skin needs—without any ouch.","Ingredients: Water\Aqua\Eau, Dimethicone, Butylene glycol, Glycerin, Trisiloxane, Juglans regia (walnut) shell powder, citrus aurantium dulcis (orange) peel oil*, Citrus limon (lemon) peel oil*, Citrus reticulata (tangerine) leaf oil*, Citrus aurantifolia (lime) oil*, Cananga odorata flower oil*, Ribes nigrum (black currant) seed oil*, Pelargonium graveolens flower oil*, Amyris balsamifera bark oil*, Dipteryx odorata seed extract, Citrus aurantium amara (bitter orange) flower extract, Triethyl citrate, Vanillin, Limonene, Linalool, Citral, Coumarin, Geraniol, Hylocereus undatus fruit extract, Trehalose, Ammonium acryloyldimethyltaurate/vp copolymer, Sucrose**, Gelidiella acerosa extract, Hypnea musciformis (algae) extract, Caffeine, Sodium hyaluronate, Sorbitol, Oleth-10, Caprylyl glycol, Raspberry ketone, Tocopheryl acetate, Tetrahexyldecyl ascorbate, Acrylates/c10-30 alkyl acrylate crosspolymer, Tromethamine, Hexylene glycol, Phenoxyethanol, Bht, Titanium dioxide (ci 77891), Red 33 (ci 17200), Red 4 (ci 14700) * Essential oil, ** Organic sucrose (brown sugar) <ILN44867> Please be aware that ingredient lists may change or vary from time to time. Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients.",https://www.origins.com/product/15346/57832/skincare/treat/face-masks/dragon-fruit/brightening-superfruit-mask
CLEAR IMPROVEMENT™,Active Charcoal Mask to Clear Pores,"Dry, Normal, Oily","Nature's complexion clean-up crew clears the way for skin to act its best. Bamboo Charcoal acts like a magnet to draw out deep-dwelling pore-cloggers, White China Clay absorbs environmental toxins, Lecithin dissolves impurities. Skin looks clear, feels perfectly pure.","Ingredients: Water\Aqua\Eau; Myrtus Communis (Myrtle) Leaf Water , Kaolin , Bentonite , Butylene Glycol , Montmorillonite , Polysorbate 20 , Peg-100 Stearate , Charcoal Powder , Xanthan Gum , Lecithin , Peg-150 Distearate , Propylene Glycol Stearate , Sorbitan Laurate , Glycerin , Propylene Glycol Laurate , Simethicone , Caprylyl Glycol , Ethylhexylglycerin , Hexylene Glycol , Trisodium Edta , Dehydroacetic Acid , Phenoxyethanol <ILNILN33435> Please be aware that ingredient lists may change or vary from time to time. Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients.",https://www.origins.com/product/15346/11588/skincare/treat/face-masks/clear-improvement/active-charcoal-mask-to-clear-pores
OUT OF TROUBLE™,10 Minute Mask to Rescue Problem Skin,Oily,"When skin is too-slick or more pressing problems start to pop up, Origins is here to keep skin Out Of Trouble. Super-absorbent Zinc Oxide and Sulfur plus calming Camphor rapidly soak up oily-shine, slough off dead cells and sweep away debris. Together they steer skin clear of slippery situations, refine rough texture and pull the plug on troublemakers to help prevent potential outbursts.","Ingredients: Water\Aqua\Eau , Cetyl Esters , Zinc Oxide , Titanium Dioxide , Cetyl Alcohol , Cetearyl Alcohol , Glycerin , Glyceryl Stearate , Peg-100 Stearate , Camphor , Ceteareth-20 , Salicylic Acid , Colloidal Sulfur , Butylene Glycol , Bentonite , Caprylyl Glycol , Hexylene Glycol , Phenoxyethanol <ILNILN33544> Please be aware that ingredient lists may change or vary from time to time. Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients.",https://www.origins.com/product/15346/10736/skincare/treat/face-masks/out-of-trouble/10-minute-mask-to-rescue-problem-skin
ORIGINAL SKIN™,Retexturizing Mask with Rose Clay,"Dry, Normal, Oily","Glow big with our innovative 2-in-1 mask! Made with Mediterranean Rose Clay, Canadian Willowherb and exfoliating Jojoba beads, it helps gently deep clean while refining skin's texture. Pores appear to vanish. Clarity is restored. Glow is instant.","Ingredients: Water\Aqua\Eau , Butylene Glycol , Kaolin , Montmorillonite , Polysorbate 20 , Jojoba Esters , Peg-100 Stearate , Bentonite , Glycerin , Citrus Grandis (Grapefruit) Peel Oil*, Lavandula Angustifolia (Lavender) Oil*, Pelargonium Graveolens Flower Oil*, Amyris Balsamifera Bark Oil*, Salvia Sclarea (Clary) Oil*, Anthemis Nobilis Flower Oil*, Rosa Centifolia Flower Extract, Limonene, Linalool, Geraniol , Epilobium Angustifolium Flower\Leaf\Stem Extract , Castanea Sativa (Chestnut) Seed Extract , Albizia Julibrissin Bark Extract , Lecithin , Ethylhexylglycerin , Caprylyl Glycol , Propylene Glycol Laurate , Propylene Glycol Stearate , Peg-150 Distearate , Hypnea Musciformis (Algae) Extract , Gellidiela Acerosa (Algae) Extract , Simethicone , Sodium Hyaluronate , Sorbitan Laurate , Hexylene Glycol , Dehydroacetic Acid , Xanthan Gum , Trisodium Edta , Phenoxyethanol , Titanium Dioxide (Ci 77891) , Iron Oxides (Ci 77491, Ci 77492, Ci 77499) * Essential Oil <ILNILN41405> Please be aware that ingredient lists may change or vary from time to time. Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients.",https://www.origins.com/product/15346/36821/skincare/treat/face-masks/original-skin/retexturizing-mask-with-rose-clay
DRINK UP™ INTENSIVE,Overnight Mask to Quench Skin's Thirst,"Dry, Normal","Put dry skin to bed with this ultra-rich, hydrating overnight mask. Avocado and Apricot Kernel Oils deeply and instantly quench compromised moisture reserves and help build a reservoir for tomorrow. While Japanese Seaweed helps repair skin's barrier to prevent future dehydration and signs of premature aging. Skin awakens comfortable, refreshed, supple.","Ingredients: Water\Aqua\Eau; Rosa Damascena (Rose) Flower Water, Myrtus Communis (Myrtle) Leaf Water, Citrus Aurantium Amara (Bitter Orange) Flower Water, Anthemis Nobilis (Chamomile) Flower Extract , Glycerin , Cetyl Alcohol , Glyceryl Polymethacrylate , Dimethicone , Peg-75 , Peg-8 , Glycereth-26 , Sorbitan Stearate , Ribes Nigrum (Black Currant) Seed Oil*, Prunus Amygdalus Amara (Bitter Almond) Kernel Oil*, Cinnamomum Camphora (Camphor) Bark Oil*, Citrus Aurantium Dulcis (Orange) Peel Oil*, Prunus Armeniaca (Apricot) Kernel Oil*, Osmanthus Fragrans Flower Extract, Rosa Damascena Extract, Citrus Aurantium Amara (Bitter Orange) Flower Extract, Linalool, Limonene , Aloe Barbadensis Leaf Extract , Cladosiphon Okamuranus Extract , Oryza Sativa (Rice) Extract , Avena Sativa (Oat) Kernel Extract , Olea Europaea (Olive) Fruit Extract , Triticum Vulgare (Wheat) Bran Extract , Peg-100 Stearate , Sucrose** , Citrus Aurantium Dulcis (Orange) Peel Wax , Panthenol , Pantethine , Cetyl Ethylhexanoate , Mangifera Indica (Mango) Seed Butter , Prunus Armeniaca (Apricot) Kernel Oil , Persea Gratissima (Avocado) Oil , Butylene Glycol , Cetearyl Alcohol , Cocos Nucifera (Coconut) Oil , Phytosterols , Tocopheryl Acetate , Oryzanol , Bisabolol , Caprylyl Glycol , Potassium Hydroxide , Caffeine , Hexylene Glycol , Sodium Hyaluronate , Dextrin , Carbomer , Disodium Edta , Sodium Dehydroacetate , Phenoxyethanol * Essential Oil** Organic Sucrose (Brown Sugar) <ILNILN40689> Please be aware that ingredient lists may change or vary from time to time. Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients.",https://www.origins.com/product/15346/11647/skincare/treat/face-masks/drink-up-intensive/overnight-mask-to-quench-skins-thirst
DRINK UP™,10 Minute Mask to Quench Skin's Thirst,"Dry, Normal","Give thirsty skin a drink. Algae Extracts deliver an extra helping of hydration while emollient-rich Apricot Kernel Oil smoothes and softens dry, dehydrated skin. Moisture levels are instantly boosted. Skin feels happily hydrated, comfortable.","Ingredients: Water\Aqua\Eau , Caprylic/Capric Triglyceride , Prunus Armeniaca (Apricot) Kernel Oil , Butylene Glycol , Squalane , Peg-100 Stearate , Glycerin , Glyceryl Stearate , Isopropyl Isostearate , Saccharide Isomerate , Cetearyl Alcohol , Polysorbate 60 , Ribes Nigrum (Black Currant) Seed Oil*, Prunus Amygdalus Amara (Bitter Almond) Kernel Oil*, Cinnamomum Camphora (Camphor) Bark Oil*, Citrus Aurantium Dulcis (Orange) Peel Oil*, Prunus Armeniaca (Apricot) Kernel Oil*, Osmanthus Fragrans Flower Extract, Rosa Damascena Extract, Citrus Aurantium Amara (Bitter Orange) Flower Extract, Linalool, Limonene , Oryza Sativa (Rice) Bran Oil , Algae Extract , Polyaminopropyl Biguanide , Caffeine , Hypnea Musciformis (Algae) Extract , Gigartina Stellata (Algae) Extract , Sodium Hyaluronate , Carbomer , Sorbitol , Caprylyl Glycol , Hexylene Glycol , Sodium Acrylates/Acrylonitrogens Copolymer , Potassium Hydroxide , Sodium Dehydroacetate , Phenoxyethanol * Essential Oil <ILNILN39962> Please be aware that ingredient lists may change or vary from time to time. Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients.",https://www.origins.com/product/15346/10497/skincare/treat/face-masks/drink-up/10-minute-mask-to-quench-skins-thirst
DR. ANDREW WEIL FOR ORIGINS™,Mega-Mushroom Relief & Resilience Soothing Face Mask,"Dry, Normal, Oily","WHAT IT IS
A creamy, super soothing, resilience boosting treatment mask with superfoods like Reishi Mushroom, Sea Buckthorn & Fermented Chaga.

WHAT IT'S FORMULATED TO DO
Rapidly reduces visible redness, restores resilience & instantly hydrates, calms & soothes for comfortable, healthy-looking skin.

WHAT IT IS FORMULATED WITHOUT
Parabens, Phthalates, Propylene Glycol, Mineral Oil, PABA, Petrolatum, Paraffin, DEA, Animal Ingredients*
*except cruelty free Honey & Beeswax

WHAT ELSE YOU NEED TO KNOW
Super foods like Mushrooms are nutrient-rich powerhouses. They’ve been used for centuries in Traditional Chinese Medicine.

This creamy treatment mask with Reishi Mushroom, Sea Buckthorn and Fermented Chaga rapidly reduces visible redness and restores resilience. Leaves sensitive skin calm and comforted.","Ingredients: Water\Aqua\Eau , Carthamus Tinctorius (Safflower) Seed Oil* , Butylene Glycol , Squalane , Peg-100 Stearate , Caprylic/Capric Triglyceride , Glyceryl Stearate , Tribehenin , Glycerin , Cetearyl Alcohol , Euphorbia Cerifera (Candelilla) Wax\Candelilla Cera\Cire De Candelilla , Kaolin , Citrus Aurantium Dulcis (Orange) Oil** Lavandula Angustifolia (Lavender) Oil**, Pogostemon Cablin (Patchouli) Oil**, Citrus Nobilis (Mandarin Orange) Peel Oil**, Pelargonium Graveolens Flower Oil**, Boswellia Carterii (Olibanum) Oil ***, Limonene, Linalool, Citronellol, Geraniol, Citral , Ganoderma Lucidum (Reishi Mushroom) Extract , Fuscoporia Obliqua Sclerotium Extract , Cordyceps Sinensis (Mushroom) Extract , Ergothioneine , Camelina Sativa Seed Oil , Lactobacillus Ferment , Hippophae Rhamnoides Extract* , Zingiber Officinale (Ginger) Root Extract* , Ocimum Sanctum (Holy Basil) Leaf Extract , Curcuma Longa (Turmeric) Root Extract* , Olea Europaea (Olive) Leaf Extract , Silybum Marianum Fruit Extract , Persea Gratissima (Avocado) Fruit Extract , Ascophyllum Nodosum Extract , Sucrose* , Astrocaryum Murumuru Seed Butter , Asparagopsis Armata Extract , Yeast Extract\Faex\Extrait De Levure , Cladosiphon Okamuranus Extract , Hypnea Musciformis (Algae) Extract , Behenyl Alcohol , Sorbitol , Trehalose , Adansonia Digitata Seed Oil , Caprylyl Glycol , Caffeine , Gellidiella Acerosa Extract , Calcium Carbonate , Helianthus Annuus (Sunflower) Seed Oil* , Polysorbate 20 , Phytosterols , Maltodextrin , Tocotrienols , Phytosphingosine , Squalene , Saccharomyces Ferment Filtrate , Tocopherol , Sodium Hyaluronate , Potassium Hydroxide , Carbomer , Hexylene Glycol , Elaeis Guineensis (Palm) Oil , Dextrin , Phenoxyethanol , Iron Oxides (Ci 77491, Ci 77492, Ci 77499) , Titanium Dioxide (Ci 77891) *Organic Safflower Oil, Organic Sunflower Oil, Organic Sea Buckthorn Extract, Organic Ginger Extract, Organic Turmeric Extract, Organic Sucrose (Brown Sugar)**Organic Essential Oils: Organic Orange Oil, Organic Mandarin Oil, Organic Patchouli Oil, Organic Geranium Oil, Organic Lavender Oil***Essential Oil <ILNILN44027> Please be aware that ingredient lists may change or vary from time to time. Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients.",https://www.origins.com/product/15346/52027/skincare/treat/face-masks/dr-andrew-weil-for-origins/mega-mushroom-relief-resilience-soothing-face-mask
